ID_Num,Age,Gender,Income,Education_Level,Travel_Frequency,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
571,68,female,76429,doctorate,5,3076,suburban,289,71,fall,0,1,0
574,39,male,49971,bachelor,1,2708,suburban,194,260,summer,0,1,1
576,42,female,88998,high school,6,1098,urban,176,42,winter,0,1,0
578,30,male,47990,doctorate,5,3459,rural,262,65,winter,0,1,0
579,41,male,89193,bachelor,3,3031,rural,290,180,fall,1,0,0
589,28,male,115780,master,5,2840,urban,61,84,spring,1,0,0
597,50,male,74305,master,2,4758,urban,54,85,spring,0,0,0
600,64,male,44438,high school,9,1561,urban,194,114,summer,1,1,0
604,21,female,74431,high school,7,512,rural,97,272,fall,0,0,1
609,39,female,107382,doctorate,6,965,rural,93,210,winter,0,0,0
612,60,female,28468,bachelor,0,1472,rural,55,64,summer,1,0,0
615,36,female,80809,master,4,2382,urban,292,97,spring,1,0,0
621,56,male,37266,bachelor,2,4348,rural,69,130,spring,1,0,0
631,46,female,119933,bachelor,4,4461,suburban,238,58,winter,0,0,0
637,32,female,66802,doctorate,9,2506,urban,246,105,summer,0,1,0
659,50,female,97859,master,5,604,rural,179,170,winter,0,1,0
661,49,male,50434,bachelor,0,4835,suburban,152,29,spring,0,0,0
662,19,male,116667,doctorate,0,3961,suburban,74,92,fall,1,0,1
672,56,female,36211,high school,3,3603,urban,59,274,summer,1,0,1
675,35,male,23188,high school,8,2521,rural,34,190,spring,1,1,1
677,60,female,56039,high school,2,4160,suburban,91,2,spring,0,0,0
691,42,male,35370,bachelor,6,4093,urban,273,89,summer,0,0,0
694,28,female,104110,bachelor,6,2902,suburban,152,36,summer,0,0,0
696,62,female,107205,doctorate,9,1624,suburban,53,14,fall,1,0,0
702,27,non-binary,44820,master,4,1918,rural,65,246,fall,1,1,1
704,63,non-binary,92079,doctorate,4,868,rural,61,112,winter,0,1,1
705,58,non-binary,26357,master,4,3236,urban,24,202,fall,0,0,0
708,25,non-binary,71955,bachelor,3,3147,rural,64,200,winter,0,1,0
725,55,female,21424,doctorate,9,1419,rural,293,211,fall,1,0,0
727,30,male,72079,high school,5,4321,urban,268,286,spring,1,1,1
730,46,non-binary,44131,master,0,1646,rural,266,25,fall,0,1,0
746,29,non-binary,91389,bachelor,6,687,urban,249,25,winter,0,1,0
748,56,non-binary,94112,bachelor,3,4881,rural,39,275,winter,1,1,0
753,55,male,24308,bachelor,8,2495,urban,185,236,fall,1,0,1
759,68,male,37227,bachelor,1,4718,rural,17,173,fall,0,0,0
761,54,male,33280,bachelor,6,974,suburban,90,229,spring,0,0,1
762,68,male,25744,master,4,572,rural,95,90,summer,1,0,0
765,19,non-binary,84899,bachelor,4,4778,suburban,143,79,fall,0,0,0
772,23,male,50375,master,2,3612,rural,186,130,winter,0,1,0
773,64,female,47535,master,4,4616,suburban,50,172,winter,1,0,1
775,69,non-binary,56419,high school,0,2214,urban,183,178,spring,1,1,0
777,45,non-binary,82068,doctorate,2,1898,rural,189,285,fall,1,0,0
785,38,non-binary,81799,bachelor,4,4531,rural,156,266,winter,1,0,0
786,61,male,106463,master,3,4115,urban,45,81,summer,0,0,1
789,51,female,67530,master,7,577,suburban,5,176,fall,0,1,0
804,30,male,83910,master,5,1738,rural,91,84,spring,1,1,0
805,64,female,96794,master,4,3082,suburban,150,56,summer,1,0,0
808,19,female,98822,doctorate,2,761,suburban,63,123,winter,1,1,0
809,59,male,33993,doctorate,9,539,urban,263,8,winter,1,0,0
810,32,non-binary,73505,high school,9,1614,rural,112,96,fall,0,0,0
813,31,non-binary,76092,master,7,798,suburban,131,101,winter,1,0,0
820,38,non-binary,68376,high school,9,4635,rural,94,121,spring,0,0,0
821,19,non-binary,58860,doctorate,6,2871,rural,34,20,winter,0,1,0
822,47,non-binary,83518,high school,4,3881,rural,217,115,summer,1,1,0
823,18,non-binary,38554,master,3,1213,suburban,257,211,fall,0,1,0
824,44,male,53565,master,5,1350,rural,68,14,summer,0,1,0
828,57,female,100294,master,6,4568,rural,9,260,spring,0,0,1
836,43,female,97433,high school,2,1978,rural,63,273,winter,1,0,0
845,61,female,105431,bachelor,0,2393,rural,196,251,fall,0,0,0
851,22,male,112411,bachelor,2,3724,urban,88,156,spring,1,0,0
853,48,female,32010,bachelor,9,3632,urban,7,59,winter,0,0,1
854,28,female,30153,bachelor,8,1280,suburban,155,95,winter,1,1,0
866,30,male,29408,doctorate,9,955,urban,299,272,summer,0,0,0
868,63,non-binary,67181,doctorate,2,2013,suburban,70,14,fall,1,0,0
877,52,male,70298,master,8,3132,rural,231,24,summer,0,1,0
880,42,non-binary,34838,doctorate,4,747,suburban,18,125,winter,1,1,0
884,66,female,54191,master,2,4390,suburban,30,211,summer,1,1,0
887,20,male,47260,master,3,2836,rural,130,98,winter,1,0,0
891,43,female,76441,high school,7,4598,rural,11,187,winter,1,0,0
894,35,non-binary,47180,master,7,2980,urban,265,74,summer,1,1,0
901,67,non-binary,91799,bachelor,3,3400,rural,296,265,winter,0,1,0
906,62,female,86436,doctorate,3,4352,suburban,130,249,fall,1,1,1
923,51,male,83261,doctorate,3,1552,suburban,242,164,winter,0,0,0
931,51,female,44512,high school,5,2464,suburban,285,174,winter,1,0,0
940,45,male,45765,high school,3,3997,suburban,82,108,spring,1,1,0
941,63,non-binary,72220,bachelor,1,4220,suburban,242,143,fall,1,0,0
948,24,female,75062,bachelor,5,1251,rural,203,12,spring,1,1,0
949,31,male,41527,doctorate,8,4612,rural,63,294,fall,1,1,1
950,39,male,112224,master,0,3117,urban,91,27,winter,1,1,0
954,27,non-binary,89737,high school,3,2611,rural,203,154,winter,1,1,0
960,56,non-binary,22297,bachelor,5,3330,rural,150,23,spring,1,1,0
961,48,male,43327,high school,9,4491,suburban,59,12,spring,1,0,0
962,43,non-binary,28407,doctorate,1,4627,urban,57,169,summer,0,1,0
977,34,female,44835,bachelor,7,2959,suburban,297,147,spring,0,1,0
982,61,male,81645,doctorate,3,2513,urban,19,231,winter,0,1,1
987,57,female,29842,master,6,1285,rural,32,107,fall,0,0,1
1001,18,non-binary,42933,high school,7,2489,suburban,95,73,fall,0,1,0
1017,62,non-binary,90373,doctorate,5,818,urban,282,63,summer,1,0,0
1020,32,female,42805,bachelor,8,595,suburban,94,17,winter,1,0,0
1024,61,non-binary,35994,high school,1,3181,urban,219,27,fall,1,0,0
1033,67,female,91443,doctorate,0,4250,suburban,214,127,summer,0,0,0
1040,66,non-binary,69753,doctorate,3,1162,urban,294,46,spring,0,0,0
1041,35,non-binary,81395,doctorate,1,1391,urban,278,54,fall,0,0,0
1051,27,male,83028,bachelor,6,949,rural,207,291,winter,1,0,0
1054,61,non-binary,67604,bachelor,5,2768,suburban,174,199,summer,1,0,0
1062,30,non-binary,116927,bachelor,5,2732,suburban,31,163,spring,0,0,1
1064,43,female,89676,master,0,998,urban,28,97,spring,0,1,1
1067,30,female,105852,master,5,3230,rural,267,95,spring,1,1,0
1071,25,male,75657,doctorate,4,3422,urban,57,17,spring,1,1,0
1078,59,male,91518,high school,3,2449,suburban,138,1,winter,1,0,0
1080,29,female,47413,master,0,1822,rural,82,175,summer,0,1,1
1086,61,female,114815,doctorate,0,4882,suburban,265,45,winter,0,0,0
1087,57,female,46622,high school,1,1216,rural,43,94,fall,0,0,1
1094,42,female,32520,doctorate,4,4043,rural,287,283,spring,0,0,0
1096,43,male,55162,bachelor,4,1101,urban,183,92,fall,0,1,0
1097,67,non-binary,64730,high school,0,3330,suburban,292,10,winter,0,1,0
1098,65,female,55804,master,0,1164,rural,143,75,fall,0,0,0
1121,37,male,22143,high school,8,2528,rural,229,189,winter,0,0,0
1125,44,non-binary,57847,bachelor,0,2971,urban,91,68,fall,1,1,0
1130,45,female,72818,high school,9,4500,suburban,252,61,winter,0,1,0
1131,30,non-binary,64859,master,0,670,rural,117,130,winter,0,1,0
1133,45,non-binary,46906,master,0,3855,rural,288,147,summer,0,1,0
1134,52,non-binary,109273,bachelor,5,3642,urban,107,110,fall,0,1,1
1137,66,male,116533,high school,9,3397,urban,91,36,winter,0,1,0
1152,67,non-binary,69510,master,1,3450,suburban,197,156,winter,1,0,0
1154,43,female,42280,doctorate,9,4330,rural,275,238,spring,1,1,0
1166,43,female,88313,doctorate,0,1801,rural,6,118,spring,0,1,0
1171,64,female,52040,master,3,3640,rural,88,114,spring,1,0,0
1174,40,non-binary,117483,high school,6,2802,suburban,81,191,summer,0,1,1
1177,39,non-binary,93679,bachelor,6,3072,suburban,190,78,summer,1,0,0
1182,61,male,97732,doctorate,0,2632,suburban,119,199,spring,1,0,1
1196,55,female,105557,master,6,961,urban,272,193,spring,1,0,0
1197,34,non-binary,98710,high school,3,4847,suburban,190,213,fall,1,1,1
1198,61,male,50104,doctorate,1,2361,urban,239,202,winter,1,0,0
1200,51,female,119657,bachelor,7,4601,suburban,189,258,fall,0,1,1
1203,61,female,103726,doctorate,1,804,suburban,257,175,spring,0,0,0
1205,67,female,95259,bachelor,3,1176,suburban,60,208,winter,1,0,1
1210,18,male,29715,doctorate,5,757,rural,11,294,winter,1,0,0
1212,33,non-binary,28300,high school,3,3277,rural,229,75,winter,1,1,0
1215,25,non-binary,87811,bachelor,0,1575,rural,224,210,winter,0,0,0
1216,50,non-binary,35285,bachelor,4,2106,suburban,117,3,fall,0,0,0
1217,18,female,68859,master,8,2928,suburban,16,120,winter,1,0,1
1219,62,female,23833,master,5,1534,rural,177,137,spring,0,1,0
1230,41,female,36823,bachelor,9,4844,suburban,227,261,winter,1,1,0
1236,33,non-binary,37625,high school,9,2442,suburban,76,190,summer,1,1,1
1238,24,non-binary,41856,high school,5,2728,rural,53,145,summer,1,0,1
1241,34,non-binary,119820,high school,8,4215,urban,257,32,winter,1,0,0
1250,56,male,30782,master,7,4171,urban,158,44,winter,0,0,0
1256,67,male,89064,master,6,1615,rural,102,128,summer,1,0,1
1265,29,female,101827,doctorate,8,1690,urban,253,244,winter,0,1,0
1277,41,male,37409,doctorate,1,4842,suburban,2,48,spring,0,0,1
1279,68,female,116756,high school,7,1746,rural,227,264,spring,1,1,1
1284,54,male,39260,bachelor,3,4103,suburban,183,275,winter,1,0,1
1287,19,non-binary,43079,doctorate,6,2414,rural,286,22,spring,1,0,0
1293,49,male,70380,doctorate,0,4420,rural,57,247,summer,1,0,0
1295,56,female,103853,doctorate,8,2262,suburban,296,41,fall,1,1,0
1296,35,male,32216,bachelor,1,842,suburban,237,280,spring,1,1,0
1297,19,female,64113,doctorate,4,1883,urban,205,197,summer,1,0,0
1304,40,female,111495,master,3,1352,urban,179,62,summer,1,0,0
1306,29,female,88899,doctorate,6,4016,rural,258,283,summer,0,1,1
1310,40,non-binary,75469,doctorate,8,4260,urban,285,293,winter,0,0,1
1321,19,female,114819,doctorate,7,4626,rural,226,292,fall,0,1,1
1332,55,male,65667,doctorate,3,3301,urban,77,166,fall,1,1,0
1333,67,non-binary,27046,high school,0,1582,urban,107,35,spring,1,1,0
1337,59,non-binary,111641,bachelor,8,1656,suburban,45,153,fall,1,0,1
1340,66,non-binary,27748,bachelor,0,984,rural,220,13,summer,0,0,0
1358,23,male,85101,high school,5,2524,suburban,153,97,winter,1,1,0
1359,42,female,22035,master,0,2272,suburban,226,227,winter,0,0,1
1364,32,female,89051,high school,9,895,urban,95,221,winter,0,1,0
1369,55,female,46170,doctorate,4,1832,suburban,159,269,winter,0,1,0
1372,20,non-binary,37328,doctorate,9,2840,suburban,37,97,fall,0,0,1
1373,37,non-binary,48142,doctorate,6,3328,urban,224,182,spring,1,1,0
1378,18,male,56329,doctorate,5,4120,suburban,80,96,summer,0,0,0
1383,32,female,76991,high school,4,1561,suburban,241,73,spring,0,0,0
1393,57,female,111244,high school,2,2012,suburban,188,264,summer,0,0,1
1401,50,female,24219,bachelor,6,1701,urban,255,163,spring,0,0,0
1416,24,female,106805,high school,5,1545,suburban,97,147,summer,1,1,0
1418,43,female,36716,doctorate,3,3123,suburban,167,138,spring,1,1,0
1426,36,male,78899,high school,6,2114,urban,66,34,winter,0,0,0
1427,69,non-binary,31116,high school,5,4043,suburban,277,205,spring,0,0,0
1429,60,male,58304,master,2,1667,suburban,40,143,fall,1,1,0
1436,19,female,103587,high school,5,3997,urban,285,221,fall,0,0,0
1437,58,female,44668,doctorate,2,4999,urban,146,3,summer,0,1,0
1447,42,female,53330,doctorate,4,840,urban,155,200,summer,1,1,1
1448,24,female,53742,doctorate,7,3760,urban,187,34,winter,1,1,0
1463,51,female,94682,high school,1,4863,urban,220,284,spring,1,0,1
1475,45,male,79554,bachelor,0,3385,suburban,111,10,winter,0,0,0
1488,30,female,57532,master,2,1818,rural,286,46,winter,1,0,0
1489,22,non-binary,109172,doctorate,3,583,suburban,63,260,fall,1,1,1
1493,44,non-binary,69883,master,3,3093,urban,106,74,summer,1,0,0
1496,27,non-binary,57363,doctorate,9,844,suburban,124,192,winter,0,0,0
1497,30,female,84126,doctorate,0,4835,rural,107,246,fall,0,0,1
1499,61,non-binary,44380,bachelor,3,3303,suburban,60,284,summer,0,1,1
1503,63,male,72048,master,2,1317,rural,137,278,spring,0,0,0
1507,41,female,62809,bachelor,0,3116,suburban,131,33,spring,1,0,0
1509,51,female,35114,high school,8,2437,suburban,50,178,winter,1,0,0
1510,58,male,48052,high school,4,2179,rural,210,172,fall,1,1,0
1512,58,female,28452,bachelor,9,1707,suburban,236,134,fall,1,0,0
1525,52,male,88709,bachelor,2,1547,urban,133,270,spring,1,1,1
1530,51,female,60085,master,5,3470,rural,43,86,fall,0,0,0
1531,23,female,108842,doctorate,4,1298,rural,179,178,fall,0,1,0
1534,65,female,24212,doctorate,0,3943,urban,168,13,summer,1,0,0
1536,28,female,96886,doctorate,2,4106,rural,145,220,fall,0,0,1
1539,65,non-binary,118506,master,1,1783,suburban,199,199,spring,1,1,0
1543,43,non-binary,67575,master,9,1703,urban,121,38,summer,1,0,0
1545,20,non-binary,21822,doctorate,2,4435,urban,198,30,spring,0,1,0
1576,52,female,86102,bachelor,4,3527,urban,74,134,spring,0,1,0
1579,59,male,95316,doctorate,4,2889,urban,288,286,spring,1,0,0
1582,50,male,38601,doctorate,0,1586,suburban,88,21,summer,1,0,0
1583,67,non-binary,108642,high school,3,4102,urban,179,114,summer,1,1,0
1587,36,male,97965,high school,8,3775,urban,175,268,fall,0,0,0
1596,51,non-binary,88082,master,0,512,suburban,108,124,fall,1,0,1
1599,63,male,115183,master,7,3671,rural,73,148,summer,1,0,0
1603,56,male,57144,master,9,4481,suburban,250,77,winter,1,0,0
1615,40,non-binary,97211,high school,3,4203,suburban,41,43,spring,1,0,1
1617,65,male,85491,doctorate,3,1813,urban,170,227,fall,1,1,0
1621,35,female,28249,master,4,1995,suburban,144,29,fall,1,1,0
1623,53,female,29118,high school,4,1645,rural,205,213,spring,1,1,0
1630,30,male,74164,doctorate,8,1956,rural,92,292,fall,0,1,1
1631,48,non-binary,23081,doctorate,8,3545,urban,35,163,summer,1,1,0
1639,67,female,47632,high school,1,4018,urban,239,189,spring,1,0,0
1642,30,male,106753,bachelor,1,2579,suburban,107,8,summer,0,0,0
1649,61,non-binary,32082,master,3,2242,rural,48,192,winter,0,1,0
1655,24,non-binary,63535,doctorate,9,3497,rural,166,5,spring,0,0,0
1667,54,male,20744,doctorate,7,768,suburban,121,58,winter,1,0,0
1671,49,female,83302,doctorate,3,1514,suburban,139,9,winter,1,1,0
1677,51,non-binary,34082,master,4,3809,rural,224,143,spring,1,0,0
1679,20,non-binary,82529,master,8,2519,urban,172,230,summer,1,1,1
1687,29,non-binary,21506,high school,9,1872,rural,287,39,winter,1,0,0
1688,57,non-binary,79102,master,2,4921,rural,120,49,summer,1,0,0
1697,49,female,109086,doctorate,2,2488,rural,48,230,winter,1,1,0
1698,24,male,93114,bachelor,5,960,urban,47,195,spring,1,0,0
1701,60,male,93529,high school,7,4902,rural,196,126,fall,1,0,0
1706,27,male,37339,high school,6,1071,urban,261,83,winter,1,1,0
1712,22,non-binary,20794,bachelor,8,1673,urban,100,131,fall,0,0,0
1714,23,male,74013,bachelor,9,4183,suburban,117,267,summer,0,0,1
1739,18,female,104953,master,8,1900,rural,13,251,fall,0,0,0
1745,50,non-binary,58099,master,1,894,rural,182,166,spring,0,0,0
1751,68,non-binary,83446,bachelor,3,3753,urban,22,15,fall,1,1,0
1758,28,non-binary,38295,bachelor,4,1598,suburban,82,125,fall,1,1,0
1765,44,non-binary,78834,doctorate,8,1564,urban,269,113,spring,1,0,0
1766,49,female,47535,master,9,2773,urban,61,28,fall,0,0,0
1779,18,non-binary,84081,doctorate,6,2900,suburban,284,254,spring,1,0,0
1781,23,non-binary,35459,high school,4,3004,suburban,299,182,winter,1,0,0
1785,64,non-binary,109493,bachelor,6,1473,rural,0,119,winter,1,0,1
1789,52,male,60176,doctorate,9,4906,rural,196,195,winter,0,1,0
1793,37,non-binary,31580,high school,9,4678,urban,13,50,fall,1,1,0
1796,69,non-binary,74360,doctorate,8,3633,rural,144,74,spring,1,0,0
1797,38,male,95932,bachelor,9,4632,rural,87,244,spring,0,0,1
1799,48,non-binary,84609,doctorate,2,1591,suburban,214,12,fall,1,0,0
1809,32,non-binary,78519,high school,0,3365,suburban,61,47,spring,0,0,0
1814,44,female,25113,doctorate,5,574,suburban,35,29,fall,0,0,0
1816,65,male,57320,master,6,3628,suburban,150,243,summer,0,1,0
1825,25,female,31975,doctorate,5,2819,rural,10,162,fall,0,1,0
1830,40,female,60910,bachelor,9,564,urban,200,38,summer,1,0,0
1836,33,non-binary,63981,doctorate,8,2644,suburban,165,174,fall,0,0,1
1841,58,non-binary,73067,master,9,2904,urban,32,235,fall,1,1,1
1845,45,female,22492,high school,8,4347,rural,121,271,summer,1,1,0
1860,45,non-binary,109276,doctorate,5,630,rural,227,159,winter,0,1,0
1867,42,female,26301,high school,9,1045,suburban,93,52,summer,0,1,0
1871,44,female,21744,bachelor,6,4510,urban,193,32,fall,0,1,0
1873,45,female,71855,high school,2,3265,urban,96,222,spring,0,1,0
1874,43,male,67249,high school,3,4524,suburban,295,51,spring,0,1,0
1876,33,female,68532,doctorate,9,2677,suburban,159,60,fall,0,1,0
1882,25,male,115919,high school,2,3143,urban,170,209,spring,1,1,0
1887,43,male,72405,high school,4,660,rural,294,17,spring,1,1,0
1891,34,female,51901,doctorate,5,1850,urban,115,9,fall,1,0,0
1899,36,non-binary,79782,master,5,2317,urban,85,209,summer,0,0,1
1900,52,female,69838,high school,0,1518,rural,192,1,spring,0,0,0
1902,25,non-binary,88993,master,1,4155,urban,104,173,spring,0,1,1
1906,42,non-binary,98449,bachelor,8,3044,rural,271,291,winter,0,1,1
1907,39,non-binary,71289,doctorate,0,3375,urban,9,96,fall,1,1,1
1911,54,male,112265,master,4,2146,rural,179,115,spring,1,1,0
1918,25,non-binary,70570,doctorate,5,4213,suburban,31,20,winter,0,0,0
1920,40,male,114280,master,5,4362,urban,162,296,fall,0,1,1
1925,63,non-binary,26782,master,4,4142,suburban,277,283,winter,1,0,1
1928,38,non-binary,42943,high school,9,4566,urban,220,94,spring,1,0,0
1930,46,non-binary,96236,bachelor,6,3977,suburban,25,282,summer,0,1,1
1932,40,non-binary,29951,high school,7,4466,urban,108,150,fall,0,1,0
1947,35,male,99991,doctorate,3,2223,suburban,177,181,winter,0,1,0
1955,41,non-binary,53532,doctorate,0,3388,urban,126,115,winter,0,1,0
1961,45,male,63395,high school,0,4020,suburban,143,108,spring,0,1,0
1966,30,female,40216,bachelor,8,2460,urban,147,147,summer,0,0,0
1969,65,male,107931,bachelor,6,1505,urban,115,45,spring,0,0,0
1972,56,female,88198,doctorate,4,1215,urban,115,247,summer,0,1,0
1973,39,non-binary,54855,bachelor,8,2224,urban,196,109,fall,1,1,0
